county_name,year,month,Severity,Period,Data_Source,longitude,latitude,Season,Has_Occurrence
历下区,2019,1,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2019,2,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2019,3,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2019,4,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2019,5,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2019,6,1,5-6月,Original,117.03862,36.664169,3,0
历下区,2019,7,1,无发生,Filled,117.03862,36.664169,3,0
历下区,2019,8,1,7-8月,Original,117.03862,36.664169,3,0
历下区,2019,9,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2019,10,1,9-10月,Original,117.03862,36.664169,4,0
历下区,2019,11,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2019,12,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2020,1,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2020,2,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2020,3,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2020,4,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2020,5,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2020,6,1,5-6月,Original,117.03862,36.664169,3,0
历下区,2020,7,1,无发生,Filled,117.03862,36.664169,3,0
历下区,2020,8,1,7-8月,Original,117.03862,36.664169,3,0
历下区,2020,9,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2020,10,1,9-10月,Original,117.03862,36.664169,4,0
历下区,2020,11,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2020,12,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2021,1,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2021,2,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2021,3,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2021,4,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2021,5,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2021,6,1,5-6月,Original,117.03862,36.664169,3,0
历下区,2021,7,1,无发生,Filled,117.03862,36.664169,3,0
历下区,2021,8,1,7-8月,Original,117.03862,36.664169,3,0
历下区,2021,9,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2021,10,1,9-10月,Original,117.03862,36.664169,4,0
历下区,2021,11,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2021,12,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2022,1,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2022,2,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2022,3,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2022,4,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2022,5,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2022,6,2,5-6月,Original,117.03862,36.664169,3,1
历下区,2022,7,1,无发生,Filled,117.03862,36.664169,3,0
历下区,2022,8,1,7-8月,Original,117.03862,36.664169,3,0
历下区,2022,9,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2022,10,1,9-10月,Original,117.03862,36.664169,4,0
历下区,2022,11,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2022,12,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2023,1,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2023,2,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2023,3,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2023,4,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2023,5,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2023,6,1,5-6月,Original,117.03862,36.664169,3,0
历下区,2023,7,1,无发生,Filled,117.03862,36.664169,3,0
历下区,2023,8,1,7-8月,Original,117.03862,36.664169,3,0
历下区,2023,9,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2023,10,1,9-10月,Original,117.03862,36.664169,4,0
历下区,2023,11,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2023,12,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2024,1,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2024,2,1,无发生,Filled,117.03862,36.664169,1,0
历下区,2024,3,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2024,4,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2024,5,1,无发生,Filled,117.03862,36.664169,2,0
历下区,2024,6,1,5-6月,Original,117.03862,36.664169,3,0
历下区,2024,7,1,无发生,Filled,117.03862,36.664169,3,0
历下区,2024,8,1,7-8月,Original,117.03862,36.664169,3,0
历下区,2024,9,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2024,10,1,9-10月,Original,117.03862,36.664169,4,0
历下区,2024,11,1,无发生,Filled,117.03862,36.664169,4,0
历下区,2024,12,1,无发生,Filled,117.03862,36.664169,1,0
市中区,2019,1,1,无发生,Filled,116.99898,36.657354,1,0
市中区,2019,1,1,无发生,Filled,117.557281,34.856651,1,0
市中区,2019,2,1,无发生,Filled,116.99898,36.657354,1,0
市中区,2019,2,1,无发生,Filled,117.557281,34.856651,1,0
市中区,2019,3,1,无发生,Filled,116.99898,36.657354,2,0
市中区,2019,3,1,无发生,Filled,117.557281,34.856651,2,0
市中区,2019,4,1,无发生,Filled,116.99898,36.657354,2,0
市中区,2019,4,1,无发生,Filled,117.557281,34.856651,2,0
市中区,2019,5,1,无发生,Filled,116.99898,36.657354,2,0
市中区,2019,5,1,无发生,Filled,117.557281,34.856651,2,0
市中区,2019,6,1,5-6月,Original,116.99898,36.657354,3,0
市中区,2019,6,1,5-6月,Original,117.557281,34.856651,3,0
市中区,2019,7,1,无发生,Filled,116.99898,36.657354,3,0
市中区,2019,7,1,无发生,Filled,117.557281,34.856651,3,0
市中区,2019,8,1,7-8月,Original,116.99898,36.657354,3,0
